Member_number,Date,itemDescription,Month,Year,Transaction_ID
1808,2015-07-21,tropical fruit,7,2015,1808_2015-07-21
2552,2015-01-05,milk,1,2015,2552_2015-01-05
2300,2015-09-19,pip fruit,9,2015,2300_2015-09-19
1187,2015-12-12,other vegetables,12,2015,1187_2015-12-12
3037,2015-02-01,milk,2,2015,3037_2015-02-01
4941,2015-02-14,rolls/buns,2,2015,4941_2015-02-14
4501,2015-05-08,other vegetables,5,2015,4501_2015-05-08
3803,2015-12-23,pot plants,12,2015,3803_2015-12-23
2762,2015-03-20,milk,3,2015,2762_2015-03-20
4119,2015-02-12,tropical fruit,2,2015,4119_2015-02-12
1340,2015-02-24,citrus fruit,2,2015,1340_2015-02-24
2193,2015-04-14,beef,4,2015,2193_2015-04-14
1997,2015-07-21,frankfurter,7,2015,1997_2015-07-21
4546,2015-09-03,chicken,9,2015,4546_2015-09-03
4736,2015-07-21,butter,7,2015,4736_2015-07-21
1959,2015-03-30,fruit/vegetable juice,3,2015,1959_2015-03-30
1974,2015-05-03,packaged fruit/vegetables,5,2015,1974_2015-05-03
2421,2015-09-02,chocolate,9,2015,2421_2015-09-02
1513,2015-08-03,specialty bar,8,2015,1513_2015-08-03
1905,2015-07-07,other vegetables,7,2015,1905_2015-07-07
2810,2015-09-08,butter milk,9,2015,2810_2015-09-08
2867,2015-11-12,milk,11,2015,2867_2015-11-12
3962,2015-09-18,tropical fruit,9,2015,3962_2015-09-18
1088,2015-11-30,tropical fruit,11,2015,1088_2015-11-30
4976,2015-07-17,bottled water,7,2015,4976_2015-07-17
4056,2015-06-12,yogurt,6,2015,4056_2015-06-12
3611,2015-02-13,sausage,2,2015,3611_2015-02-13
1420,2015-01-14,other vegetables,1,2015,1420_2015-01-14
4286,2015-03-08,brown bread,3,2015,4286_2015-03-08
4918,2015-01-27,yogurt,1,2015,4918_2015-01-27
4783,2015-10-22,hamburger meat,10,2015,4783_2015-10-22
3709,2015-10-26,root vegetables,10,2015,3709_2015-10-26
4289,2015-10-08,pork,10,2015,4289_2015-10-08
1559,2015-10-03,beef,10,2015,1559_2015-10-03
2900,2015-04-11,pastry,4,2015,2900_2015-04-11
1905,2015-02-21,fruit/vegetable juice,2,2015,1905_2015-02-21
3527,2015-09-29,canned beer,9,2015,3527_2015-09-29
1495,2015-01-09,root vegetables,1,2015,1495_2015-01-09
3558,2015-04-03,citrus fruit,4,2015,3558_2015-04-03
3128,2015-04-20,sausage,4,2015,3128_2015-04-20
1863,2015-08-04,tropical fruit,8,2015,1863_2015-08-04
3841,2015-07-19,berries,7,2015,3841_2015-07-19
3903,2015-10-06,canned beer,10,2015,3903_2015-10-06
2658,2015-10-16,butter milk,10,2015,2658_2015-10-16
4272,2015-06-06,coffee,6,2015,4272_2015-06-06
1120,2015-09-26,pastry,9,2015,1120_2015-09-26
2676,2015-08-15,rolls/buns,8,2015,2676_2015-08-15
1697,2015-05-21,misc. beverages,5,2015,1697_2015-05-21
2507,2015-08-25,root vegetables,8,2015,2507_2015-08-25
4620,2015-03-11,sausage,3,2015,4620_2015-03-11
3365,2015-02-01,canned beer,2,2015,3365_2015-02-01
2978,2015-06-05,ham,6,2015,2978_2015-06-05
2910,2015-07-28,turkey,7,2015,2910_2015-07-28
1061,2015-09-05,milk,9,2015,1061_2015-09-05
3276,2015-04-03,milk,4,2015,3276_2015-04-03
1326,2015-06-19,packaged fruit/vegetables,6,2015,1326_2015-06-19
3023,2015-07-28,rolls/buns,7,2015,3023_2015-07-28
2185,2015-10-11,ham,10,2015,2185_2015-10-11
3552,2015-06-16,rolls/buns,6,2015,3552_2015-06-16
1967,2015-01-20,other vegetables,1,2015,1967_2015-01-20
4708,2015-03-20,sausage,3,2015,4708_2015-03-20
2874,2015-02-15,sausage,2,2015,2874_2015-02-15
4177,2015-04-13,frankfurter,4,2015,4177_2015-04-13
1663,2015-02-07,rolls/buns,2,2015,1663_2015-02-07
2632,2015-03-02,milk,3,2015,2632_2015-03-02
1377,2015-03-14,curd cheese,3,2015,1377_2015-03-14
4162,2015-12-22,red/blush wine,12,2015,4162_2015-12-22
2270,2015-07-01,sausage,7,2015,2270_2015-07-01
4829,2015-11-03,tropical fruit,11,2015,4829_2015-11-03
3811,2015-04-14,red/blush wine,4,2015,3811_2015-04-14
4766,2015-09-29,milk,9,2015,4766_2015-09-29
2436,2015-04-12,frankfurter,4,2015,2436_2015-04-12
3860,2015-05-05,milk,5,2015,3860_2015-05-05
4875,2015-05-12,frozen potato products,5,2015,4875_2015-05-12
1587,2015-07-01,other vegetables,7,2015,1587_2015-07-01
4038,2015-07-08,citrus fruit,7,2015,4038_2015-07-08
4750,2015-09-21,flour,9,2015,4750_2015-09-21
1199,2015-12-10,sugar,12,2015,1199_2015-12-10
1603,2015-09-30,frozen meals,9,2015,1603_2015-09-30
3111,2015-01-31,chocolate,1,2015,3111_2015-01-31
3894,2015-12-13,root vegetables,12,2015,3894_2015-12-13
1456,2015-09-18,root vegetables,9,2015,1456_2015-09-18
2022,2015-03-04,herbs,3,2015,2022_2015-03-04
2505,2015-11-30,bottled water,11,2015,2505_2015-11-30
4851,2015-12-20,sausage,12,2015,4851_2015-12-20
4293,2015-08-04,coffee,8,2015,4293_2015-08-04
2775,2015-11-06,pork,11,2015,2775_2015-11-06
3693,2015-02-18,berries,2,2015,3693_2015-02-18
1202,2015-07-22,soda,7,2015,1202_2015-07-22
3699,2015-08-23,berries,8,2015,3699_2015-08-23
4152,2015-04-15,fruit/vegetable juice,4,2015,4152_2015-04-15
4155,2015-01-26,citrus fruit,1,2015,4155_2015-01-26
4010,2015-12-29,pork,12,2015,4010_2015-12-29
4389,2015-10-20,detergent,10,2015,4389_2015-10-20
3746,2015-08-17,grapes,8,2015,3746_2015-08-17
2560,2015-05-17,sausage,5,2015,2560_2015-05-17
1503,2015-07-25,chicken,7,2015,1503_2015-07-25
2555,2015-12-23,milk,12,2015,2555_2015-12-23
3645,2015-12-12,citrus fruit,12,2015,3645_2015-12-12
3886,2015-09-11,soda,9,2015,3886_2015-09-11
2932,2015-03-20,sausage,3,2015,2932_2015-03-20
1711,2015-06-18,frankfurter,6,2015,1711_2015-06-18
4291,2015-12-08,sausage,12,2015,4291_2015-12-08
1143,2015-04-25,soda,4,2015,1143_2015-04-25
